iter	MultiClass
0	1.448045783
1	1.234444756
2	1.085575879
3	0.9855359376
4	0.9037363636
5	0.8389896513
6	0.7897143077
7	0.7511469844
8	0.7201556434
9	0.6927541689
10	0.6696905441
11	0.650913046
12	0.6324766947
13	0.6158939441
14	0.6033642146
15	0.5911523193
16	0.5812020696
17	0.5699775086
18	0.5599787974
19	0.5524778957
20	0.5452838853
21	0.5349088473
22	0.5265966127
23	0.5204771233
24	0.5141797561
25	0.5081301703
26	0.5034182279
27	0.500054087
28	0.4944831587
29	0.4903689449
30	0.4853592813
31	0.4805748173
32	0.478620077
33	0.475321263
34	0.4708773326
35	0.4649401577
36	0.4604589724
37	0.4560188908
38	0.4515956803
39	0.4471412994
40	0.4428429001
41	0.437042988
42	0.4343055319
43	0.4293261858
44	0.4265151712
45	0.4230286794
46	0.4204548254
47	0.4152879036
48	0.4128920859
49	0.4087055429
50	0.4065923254
51	0.4030562775
52	0.4007512867
53	0.3986523766
54	0.395280599
55	0.3908988638
56	0.3877848568
57	0.3848505812
58	0.3810534856
59	0.3788752567
60	0.3753678091
61	0.3729006323
62	0.3703018336
63	0.3676527918
64	0.3647667086
65	0.3617596104
66	0.3588577817
67	0.356565223
68	0.3536320087
69	0.3518029055
70	0.3494910347
71	0.3470494241
72	0.3448857324
73	0.3415833229
74	0.3401841018
75	0.3388141539
76	0.3363156435
77	0.3342450623
78	0.3328708069
79	0.3305466269
80	0.3279157057
81	0.3255935748
82	0.3236779152
83	0.3224752773
84	0.3208017695
85	0.3192161285
86	0.3173085306
87	0.316295325
88	0.313092371
89	0.3109872493
90	0.3095438019
91	0.3080489428
92	0.306562363
93	0.3051930963
94	0.3038896108
95	0.3025735225
96	0.3008238668
97	0.2992854705
98	0.2979745407
99	0.2972616286
100	0.2949630536
101	0.2930872676
102	0.2917303626
103	0.289079367
104	0.2869982123
105	0.2854585432
106	0.2836937299
107	0.2829086895
108	0.2811702151
109	0.2796958716
110	0.2781661344
111	0.2772895959
112	0.2763093781
113	0.27509185
114	0.274045324
115	0.2733430741
116	0.2721816358
117	0.2702482124
118	0.2690580954
119	0.2676540785
120	0.2667309025
121	0.2654878974
122	0.2641170037
123	0.2632494153
124	0.2618306033
125	0.2603978985
126	0.2585608292
127	0.2576477405
128	0.2566223986
129	0.2558074439
130	0.2541809985
131	0.2532621616
132	0.25216168
133	0.2507911013
134	0.2498115792
135	0.2481805669
136	0.2465513291
137	0.245378402
138	0.2442195785
139	0.2435092274
140	0.242645223
141	0.2411734345
142	0.2398159566
143	0.2382315015
144	0.2366861437
145	0.235578522
146	0.2344073558
147	0.2338257966
148	0.2331008715
149	0.2320284141
150	0.230885698
151	0.2299643626
152	0.228557749
153	0.2278967918
154	0.2271284389
155	0.2263891211
156	0.2257286643
157	0.2246015529
158	0.2242223595
159	0.2230853267
160	0.2222585385
161	0.2216237545
162	0.2206283569
163	0.2195793794
164	0.2184035549
165	0.2168087175
166	0.2160027964
167	0.2154774086
168	0.2147091304
169	0.21415432
170	0.2130209398
171	0.2120782316
172	0.2112307003
173	0.2103128638
174	0.209609552
175	0.2084624243
176	0.2076149655
177	0.2067903034
178	0.2061281631
179	0.2056820661
180	0.2048802421
181	0.2042992912
182	0.2036359832
183	0.2025552304
184	0.2016845579
185	0.2010204573
186	0.2000105913
187	0.1991677707
188	0.1980807623
189	0.1974957395
190	0.1965141721
191	0.1958041061
192	0.1948564409
193	0.1941228292
194	0.1938151703
195	0.1932027043
196	0.1924562295
197	0.1917735238
198	0.1909841825
199	0.190354895
200	0.1896925889
201	0.1891950948
202	0.1885014478
203	0.1875163854
204	0.1870641328
205	0.1860654727
206	0.185511996
207	0.1847829276
208	0.1838410325
209	0.1828457528
210	0.1819312993
211	0.181490426
212	0.1808205521
213	0.1796094646
214	0.1787969851
215	0.1782929123
216	0.1774093599
217	0.1769206779
218	0.1761347517
219	0.1757519058
220	0.1751558754
221	0.174363931
222	0.1733538828
223	0.1730103514
224	0.1717856294
225	0.1713653018
226	0.1709766761
227	0.1702867026
228	0.1699035103
229	0.1689666048
230	0.1678524234
231	0.1673023534
232	0.1665143685
233	0.1659761801
234	0.1652313187
235	0.1644462911
236	0.1636561651
237	0.1630589914
238	0.1623172237
239	0.1615416353
240	0.1611812363
241	0.1602677285
242	0.1596857542
243	0.1589264471
244	0.1584759573
245	0.1579926555
246	0.1574964339
247	0.1570844927
248	0.1565778192
249	0.1561868044
250	0.1557028847
251	0.1548181578
252	0.1540531357
253	0.1534149915
254	0.1529741705
255	0.1522717113
256	0.151607146
257	0.150956179
258	0.1507584964
259	0.1500220994
260	0.1496444244
261	0.1490928972
262	0.1486163413
263	0.1479474612
264	0.1475243258
265	0.1472271966
266	0.1468098133
267	0.1462815155
268	0.1460989808
269	0.1457672711
270	0.1451516003
271	0.1446552229
272	0.1438333162
273	0.1434024595
274	0.1429256547
275	0.1425535132
276	0.1420130558
277	0.141695241
278	0.1411142971
279	0.1408207804
280	0.1404888097
281	0.1401232295
282	0.1395765785
283	0.1388659725
284	0.1378538314
285	0.1374624408
286	0.1371093425
287	0.1367454879
288	0.1362072728
289	0.1356266828
290	0.1351469808
291	0.1346306824
292	0.1341906314
293	0.1335846321
294	0.1329224697
295	0.1326310522
296	0.1322317069
297	0.1320235797
298	0.1315543265
299	0.1311196571
300	0.1306315559
301	0.1303715397
302	0.129928647
303	0.1296070726
304	0.1292829931
305	0.1289457175
306	0.1286340845
307	0.128278831
308	0.1280472144
309	0.1276799279
310	0.1272654095
311	0.1270374234
312	0.126531781
313	0.126182381
314	0.1257423771
315	0.125364778
316	0.1248314555
317	0.1245943174
318	0.1243365196
319	0.1237823798
320	0.1235043133
321	0.1233578603
322	0.1227830412
323	0.1221435271
324	0.1216246341
325	0.1214660562
326	0.1211671381
327	0.120657442
328	0.1201010389
329	0.1196493641
330	0.1193545103
331	0.1189596258
332	0.1186425599
333	0.118172313
334	0.1177316143
335	0.1175205357
336	0.1169902269
337	0.1165340546
338	0.1162155915
339	0.115971593
340	0.1153623415
341	0.115127347
342	0.1149360043
343	0.1146426179
344	0.1142899788
345	0.114063196
