iter	MultiClass
346	0.1137562586
347	0.1134836726
348	0.1132181497
349	0.1130069786
350	0.1126688795
351	0.1123313614
352	0.1121085475
353	0.1116852441
354	0.1112194098
355	0.1109358088
356	0.1105431681
357	0.1102276242
358	0.1098419455
359	0.1096229951
360	0.1093730568
361	0.108786842
362	0.1084218844
363	0.1080801472
364	0.1078972731
365	0.1076216557
366	0.1072179371
367	0.1069833352
368	0.1065520512
369	0.1062973403
370	0.106152571
371	0.1056670347
372	0.1051889024
373	0.1047296516
374	0.1044619651
375	0.1041535623
376	0.1036892482
377	0.1034092054
378	0.1031744792
379	0.102907806
380	0.1026768077
381	0.1022844628
382	0.1019736673
383	0.1016702339
384	0.1014295322
385	0.1012435531
386	0.10104231
387	0.1006304665
388	0.1002854009
389	0.09999075159
390	0.09975963506
391	0.09952347551
392	0.09938164602
393	0.09911136477
394	0.09866764109
395	0.0984262718
396	0.09824196783
397	0.09795388867
398	0.09761711979
399	0.09717039167
400	0.09670298579
401	0.09651093344
402	0.09604612416
403	0.09584281312
404	0.09564206389
405	0.09530282988
406	0.09490865668
407	0.09466862488
408	0.09434942339
409	0.09408792859
410	0.09369043153
411	0.09354958056
412	0.09341537007
413	0.09317367848
414	0.0929237231
415	0.09261721431
416	0.09250550092
417	0.09230652949
418	0.09193617717
419	0.09174384394
420	0.09163354098
421	0.09133300641
422	0.09103354533
423	0.09084918504
424	0.09051741521
425	0.09028039532
426	0.09000521916
427	0.08979945607
428	0.08954891589
429	0.08931342027
430	0.08921849262
431	0.08893784876
432	0.08875812491
433	0.08866558478
434	0.08840488119
435	0.08812449261
436	0.08771110436
437	0.0875151764
438	0.08738758457
439	0.08711245999
440	0.08688988589
441	0.08655588665
442	0.08638076752
443	0.08618429291
444	0.08602675702
445	0.08581163498
446	0.08562531918
447	0.08552695469
448	0.08517431346
449	0.08490618887
450	0.08464442996
451	0.0844631424
452	0.08416990121
453	0.0839603694
454	0.08367706267
455	0.08346829546
456	0.08320244246
457	0.08303337227
458	0.08282051598
459	0.08266129275
460	0.08251370995
461	0.08229389276
462	0.08206803433
463	0.08177098106
464	0.08157383879
465	0.08139651732
466	0.08122325876
467	0.08104952436
468	0.08085106846
469	0.08066103206
470	0.08049787798
471	0.08027199237
472	0.08011541751
473	0.07989669043
474	0.07968920169
475	0.07949261142
476	0.07930437637
477	0.07916924799
478	0.07899146361
479	0.07875877145
480	0.07857426674
481	0.07845515503
482	0.07817790915
483	0.07792094984
484	0.07765604805
485	0.07748169072
486	0.07734537527
487	0.07719747107
488	0.07700182859
489	0.07681277752
490	0.07660289344
491	0.07648717938
