iter	Passed	Remaining
399	83651	19239
400	83847	19027
401	84034	18813
402	84226	18600
403	84410	18386
404	84602	18173
405	84788	17960
406	84991	17750
407	85180	17537
408	85370	17324
409	85547	17109
410	85747	16899
411	85927	16684
412	86152	16479
413	86366	16271
414	86593	16066
415	86805	15858
416	87017	15650
417	87222	15441
418	87478	15240
419	87677	15030
420	87881	14820
421	88067	14608
422	88252	14395
423	88462	14187
424	88674	13979
425	88868	13768
426	89060	13557
427	89246	13345
428	89414	13130
429	89608	12920
430	89804	12710
431	89980	12497
432	90176	12287
433	90359	12075
434	90544	11864
435	90729	11653
436	90938	11445
437	91125	11234
438	91302	11022
439	91480	10811
440	91677	10602
441	91870	10392
442	92096	10186
443	92268	9974
444	92458	9765
445	92642	9555
446	92825	9344
447	93001	9134
448	93214	8927
449	93386	8716
450	93577	8507
451	93741	8295
452	93917	8085
453	94097	7875
454	94278	7666
455	94479	7458
456	94661	7249
457	94831	7039
458	95021	6831
459	95192	6622
460	95367	6412
461	95577	6206
462	95780	5999
463	95971	5791
464	96156	5583
465	96340	5375
466	96538	5168
467	96766	4962
468	96954	4754
469	97212	4550
470	97407	4343
471	97602	4135
472	97829	3929
473	98046	3723
474	98248	3516
475	98432	3308
476	98640	3101
477	98858	2895
478	99111	2689
479	99312	2482
480	99516	2275
481	99703	2068
482	99908	1861
483	100113	1654
484	100352	1448
485	100568	1241
486	100769	1034
487	100994	827
488	101204	620
489	101448	414
490	101666	207
491	101885	0
